epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2634,1.15878,3.75638,0.95901,0.03969,0.57759,0.06361,0.03345,1.05894,3.61103,0.86913,8.335e-05,8.335e-05,8.335e-05
2,28.3177,1.17956,2.81798,0.90765,0.0552,0.96552,0.37826,0.21109,0.9744,3.48671,0.87579,0.000179739,0.000179739,0.000179739
3,41.5017,1.22228,1.69782,0.91016,0.94989,0.16344,0.43806,0.20885,0.91031,3.11623,0.84438,0.000272168,0.000272168,0.000272168
4,54.6776,1.08877,1.15073,0.89557,0.96192,0.21785,0.73925,0.43069,1.02328,2.76425,0.85787,0.000360635,0.000360635,0.000360635
5,67.8028,1.10116,1.09257,0.90111,0.93882,0.26464,0.77586,0.51678,1.00761,2.55712,0.86623,0.000445142,0.000445142,0.000445142
6,80.7193,1.09046,1.00996,0.89756,0.96876,0.26736,0.72094,0.54989,0.96076,2.47527,0.86808,0.000525688,0.000525688,0.000525688
7,93.5746,1.11076,0.99797,0.89826,0.96211,0.21898,0.73202,0.52333,1.02311,2.51032,0.87491,0.000602274,0.000602274,0.000602274
8,106.561,0.99479,0.97788,0.89485,0.96502,0.23787,0.78916,0.56494,0.96494,2.44816,0.87034,0.000674898,0.000674898,0.000674898
9,119.629,1.04929,0.94939,0.89552,0.9475,0.3112,0.80325,0.57592,0.94284,2.38123,0.87109,0.000743562,0.000743562,0.000743562
10,133.31,1.06342,0.94234,0.91851,0.87986,0.37881,0.79366,0.55432,0.97648,2.2966,0.88524,0.000808265,0.000808265,0.000808265
11,150.165,1.06408,0.92806,0.89689,0.89156,0.35438,0.77481,0.56643,0.90805,2.31427,0.88972,0.000869007,0.000869007,0.000869007
12,163.14,1.06538,0.91703,0.90098,0.88914,0.34574,0.79173,0.53655,1.0158,2.25673,0.90444,0.000925788,0.000925788,0.000925788
13,175.999,1.06492,0.89578,0.90275,0.93943,0.31034,0.79529,0.55667,1.00914,2.2159,0.90328,0.000978609,0.000978609,0.000978609
14,188.891,1.0029,0.88318,0.90912,0.97652,0.35858,0.78381,0.59065,0.9119,2.13003,0.90705,0.00102747,0.00102747,0.00102747
15,201.831,1.06104,0.84645,0.92635,0.97652,0.35858,0.78381,0.59065,0.9119,2.13003,0.90705,0.00107237,0.00107237,0.00107237
16,214.74,1.02912,0.91063,0.90671,0.97029,0.43103,0.81036,0.61917,0.91028,2.02907,0.89582,0.00111331,0.00111331,0.00111331
17,227.565,1.04994,0.85995,0.89281,0.89513,0.5887,0.88389,0.62786,1.0467,1.75924,0.90671,0.00113889,0.00113889,0.00113889
18,240.409,1.07448,0.87488,0.92149,0.87555,0.78843,0.89517,0.66673,0.98225,1.43256,0.90007,0.00110589,0.00110589,0.00110589
19,253.308,1.06166,0.88504,0.91603,0.87555,0.78843,0.89517,0.66673,0.98225,1.43256,0.90007,0.00107288,0.00107288,0.00107288
20,266.216,1.03419,0.84523,0.88784,0.88165,0.86207,0.9191,0.7106,0.86869,1.17031,0.87619,0.00103987,0.00103987,0.00103987
21,278.967,0.9951,0.81593,0.90934,0.89178,0.85246,0.92793,0.68665,0.88595,1.00812,0.87662,0.00100687,0.00100687,0.00100687
22,291.94,0.9911,0.8169,0.88685,0.87969,0.87931,0.93781,0.66351,0.96392,0.911,0.87226,0.000973861,0.000973861,0.000973861
23,304.767,1.02021,0.81816,0.88464,0.87969,0.87931,0.93781,0.66351,0.96392,0.911,0.87226,0.000940855,0.000940855,0.000940855
24,317.509,0.98847,0.80365,0.89281,0.86488,0.93804,0.95279,0.70378,0.93325,0.84147,0.8659,0.000907848,0.000907848,0.000907848
25,330.296,0.94844,0.80118,0.88316,0.87521,0.9069,0.94714,0.72869,0.85,0.78704,0.86924,0.000874842,0.000874842,0.000874842
26,343.123,0.94331,0.78921,0.88453,0.90009,0.93199,0.94035,0.73674,0.82505,0.76872,0.87041,0.000841835,0.000841835,0.000841835
27,355.937,0.95261,0.77105,0.88058,0.90009,0.93199,0.94035,0.73674,0.82505,0.76872,0.87041,0.000808828,0.000808828,0.000808828
28,368.852,0.89078,0.77142,0.88553,0.90422,0.92241,0.94197,0.74651,0.81532,0.76792,0.86487,0.000775822,0.000775822,0.000775822
29,381.668,0.91084,0.76164,0.89001,0.90756,0.93104,0.94807,0.74177,0.84773,0.75791,0.85943,0.000742815,0.000742815,0.000742815
30,394.417,0.9352,0.78724,0.88716,0.91209,0.92241,0.93706,0.75233,0.80751,0.76047,0.85478,0.000709809,0.000709809,0.000709809
